Name;Price;Discounted Price;Discount (%);Quantity;Units of Measurement;Category;Subcategory
la sfogliata;2.1;1.49;29.05;230;g;pasta e riso;basi e sfoglie
pancakes;2.29;1.69;26.2;160;g;pasta e riso;basi e sfoglie
cerelia italia pasta sfoglia rotonda;1.49;0.89;40.27;230;g;pasta e riso;basi e sfoglie
buitoni, la pizza rotonda senza glutine;3.4;2.04;40.0;260;g;pasta e riso;basi e sfoglie
brisée;2.39;;;230;g;pasta e riso;basi e sfoglie
buitoni, la brisèe;1.99;;;230;g;pasta e riso;basi e sfoglie
buitoni, gran pizza;3.29;;;460;g;pasta e riso;basi e sfoglie
esselunga, pasta sfoglia rotonda;1.59;;;230;g;pasta e riso;basi e sfoglie
esselunga, pasta sfoglia rettangolare;1.59;;;230;g;pasta e riso;basi e sfoglie
esselunga, pasta per pizza;1.29;;;385;g;pasta e riso;basi e sfoglie
esselunga, pasta brisée;1.69;;;230;g;pasta e riso;basi e sfoglie
pasta julia, fettuccine caserecce,;1.81;;;200;g;pasta e riso;basi e sfoglie
knorr, segreti della nonna zuppa di fagioli;2.19;1.18;46.12;545;g;pasta e riso;minestre e zuppe - primi pronti
zuppa di ceci;2.19;1.69;22.83;545;g;pasta e riso;minestre e zuppe - primi pronti
zuppa di fagioli;1.99;1.09;45.23;545;g;pasta e riso;minestre e zuppe - primi pronti
minestrone dell'orto;2.49;1.69;32.13;500;ml;pasta e riso;minestre e zuppe - primi pronti
knorr, gusto genuino il minestrone di 13 verdure;1.89;1.0;47.09;500;ml;pasta e riso;minestre e zuppe - primi pronti
knorr, segreti della nonna minestrone di legumi;2.12;1.18;44.34;545;g;pasta e riso;minestre e zuppe - primi pronti
knorr - segreti della nonna zuppa di ceci;2.12;1.18;44.34;545;g;pasta e riso;minestre e zuppe - primi pronti
knorr - minestrone con pasta, 133 g;1.69;0.93;44.97;132;g;pasta e riso;minestre e zuppe - primi pronti
knorr - minestrone, di 11 verdure selezionate;2.12;1.18;44.34;535;g;pasta e riso;minestre e zuppe - primi pronti
le minestre anellini;1.29;0.95;26.36;83;g;pasta e riso;minestre e zuppe - primi pronti
zuppa toscana;3.49;2.39;31.52;620;g;pasta e riso;minestre e zuppe - primi pronti
zucca e carote;3.29;2.18;33.74;620;g;pasta e riso;minestre e zuppe - primi pronti
dimmidisì le zuppe fresche minestrone di verdure;3.29;2.99;9.12;620;g;pasta e riso;minestre e zuppe - primi pronti
knorr, le creme carciofi;1.33;0.93;30.08;120;g;pasta e riso;minestre e zuppe - primi pronti
zuppetta di fave e piselli;1.99;1.59;20.1;310;g;pasta e riso;minestre e zuppe - primi pronti
minestrone di legumi;1.99;1.49;25.13;545;g;pasta e riso;minestre e zuppe - primi pronti
minestrone di verdura;1.99;1.49;25.13;535;g;pasta e riso;minestre e zuppe - primi pronti
passato di verdure tradizionale;1.69;1.59;5.92;69;g;pasta e riso;minestre e zuppe - primi pronti
minestra d'orzo;1.29;0.95;26.36;105;g;pasta e riso;minestre e zuppe - primi pronti
anellini;1.39;0.99;28.78;83;g;pasta e riso;minestre e zuppe - primi pronti
crema con porcini;1.79;1.59;11.17;76;g;pasta e riso;minestre e zuppe - primi pronti
crema con carciofi;1.79;1.59;11.17;88;g;pasta e riso;minestre e zuppe - primi pronti
pasta e fagioli;1.59;1.45;8.81;182;g;pasta e riso;minestre e zuppe - primi pronti
cicoria e patate;2.99;1.99;33.44;620;g;pasta e riso;minestre e zuppe - primi pronti
minestrone pasta;1.59;1.49;6.29;132;g;pasta e riso;minestre e zuppe - primi pronti
knorr passato di patate e carote;1.89;1.67;11.64;500;ml;pasta e riso;minestre e zuppe - primi pronti
