Name;Full Price;Current Price;Quantity;Category;Subcategory
Fusilloni Pasta Di Gragnano I.g.p.;1,19;1,00;500 g;Pasta e Riso;Pasta di semola corta
Calamari Pasta Di Gragnano I.g.p.;1,19;1,00;500 g;Pasta e Riso;Pasta di semola corta
Penne Rigate 70;1,00;0,76;1000 g;Pasta e Riso;Pasta di semola corta
Napellini Rigati 42;0,47;0,39;500 g;Pasta e Riso;Pasta di semola corta
Maniche 49;0,47;0,39;500 g;Pasta e Riso;Pasta di semola corta
Linguine 13;0,47;0,39;500 g;Pasta e Riso;Pasta di semola corta
Fusilli 64;1,00;0,76;1000 g;Pasta e Riso;Pasta di semola corta
Elicoidali 47;1,00;0,76;1000 g;Pasta e Riso;Pasta di semola corta
GNOCCHETTI SARDI N°35;0,65;0,49;500 g;Pasta e Riso;Pasta di semola corta
De Cecco Farfalle n° 93;1,99;1,06;500 g;Pasta e Riso;Pasta di semola corta
Voiello Pipe rigate n° 135;1,30;0,65;500 g;Pasta e Riso;Pasta di semola corta
FiberPasta Penne;3,16;3,00;500 g;Pasta e Riso;Pasta di semola corta
Rummo Elicoidali N° 49;1,00;0,94;500 g;Pasta e Riso;Pasta di semola corta
Barilla Pennette Rigate n.72;0,99;0,45;500 g;Pasta e Riso;Pasta di semola corta
Rummo Penne rigate n° 66;1,49;0,79;500 g;Pasta e Riso;Pasta di semola corta
De Cecco Mezze penne rigate n° 141;1,69;1,04;500 g;Pasta e Riso;Pasta di semola corta
Trofie Di Semola Fresche;1,00;0,99;500 g;Pasta e Riso;Pasta di semola fresca
Orecchiette Di Semola Fresche;1,19;0,99;500 g;Pasta e Riso;Pasta di semola fresca
Fusilli Di Semola Freschi;1,19;0,99;500 g;Pasta e Riso;Pasta di semola fresca
TROFIE;2,49;2,29;500 g;Pasta e Riso;Pasta di semola fresca
Gourmet Pizzoccheri;1,09;0,99;250 g;Pasta e Riso;Pasta di semola fresca
Scoiattolo, Fusilli 100% farina di piselli biologi...;1,99;1,39;200 g;Pasta e Riso;Pasta di semola fresca
Nonna Mery, Trofie liguri;;1,49;250 g;Pasta e Riso;Pasta di semola fresca
Esselunga Equilibrio trofie integrali;;2,29;500 g;Pasta e Riso;Pasta di semola fresca
Maffei, Fusilli integrali;1,99;1,29;500 g;Pasta e Riso;Pasta di semola fresca
Maffei, Troccoli;;1,23;250 g;Pasta e Riso;Pasta di semola fresca
Esselunga, Trofie;2,19;1,53;500 g;Pasta e Riso;Pasta di semola fresca
Esselunga, Strozzapreti;2,19;1,53;500 g;Pasta e Riso;Pasta di semola fresca
Esselunga, Orecchiette;;2,15;500 g;Pasta e Riso;Pasta di semola fresca
Esselunga, Cavatelli;;2,19;500 g;Pasta e Riso;Pasta di semola fresca
Esselunga Equilibrio, Orecchiette integrali;;2,29;500 g;Pasta e Riso;Pasta di semola fresca
Fusilli Freschi;0,89;0,69;500 g;Pasta e Riso;Pasta di semola fresca
Pasta Fresca di Semola di Grano Duro, Biologico;0,79;0,50;250 g;Pasta e Riso;Pasta di semola fresca
Pici Senesi;;1,04;250 g;Pasta e Riso;Pasta di semola fresca
Troccoli di Semola Freschi;;1,49;500 g;Pasta e Riso;Pasta di semola fresca
Orecchiettine Fresche;1,79;1,25;500 g;Pasta e Riso;Pasta di semola fresca
Strozzapreti Speciale Sem Atmsac;0,79;0,50;250 g;Pasta e Riso;Pasta di semola fresca
Pasta Biologica;;0,99;250 g;Pasta e Riso;Pasta di semola fresca
Trofie Bio;;0,99;250 g;Pasta e Riso;Pasta di semola fresca
Orecchiette Sem Atmsac;;1,00;250 g;Pasta e Riso;Pasta di semola fresca
Trofiette Fresche;1,99;1,19;500 g;Pasta e Riso;Pasta di semola fresca
Orecchiette;;2,05;500 g;Pasta e Riso;Pasta di semola fresca
Casa Buratti Gnocchi Sorrentini Senza Patate;;1,79;Pat...;Pasta e Riso;Pasta di semola fresca
Casa Milo Biologico Orecchiette Bio;;1,64;400 g;Pasta e Riso;Pasta di semola fresca
Casa Milo Biologico Trofie Bio;1,70;0,93;400 g;Pasta e Riso;Pasta di semola fresca
CAVATELLI FRESCHI;;1,49;500 g;Pasta e Riso;Pasta di semola fresca
Trofiette;;3,05;;Pasta e Riso;Pasta di semola fresca
Tagliolini con Fibre;;0,69;250 g;Pasta e Riso;Pasta di semola fresca
Barilla - Piccolini Mini Farfalle;1,45;0,69;500 g;Pasta e Riso;Pasta di semola lunga
Barilla - Piccolini Mini Penne Rigate;1,45;0,69;500 g;Pasta e Riso;Pasta di semola lunga
Barilla Spaghetti n.5;1,29;0,45;400 g;Pasta e Riso;Pasta di semola lunga
Barilla Semola Capellini n.1;1,25;0,45;500 g;Pasta e Riso;Pasta di semola lunga
Fusilli Bio;2,74;0,50;500 g;Pasta e Riso;Pasta di semola lunga
SPAGHETTINI N°3;1,09;0,84;1000 g;Pasta e Riso;Pasta di semola lunga
Garofalo Casarecce n. 88;1,59;0,79;500 g;Pasta e Riso;Pasta di semola lunga
Voiello, Fusilli n. 141 pasta di semola di grano d...;1,85;0,65;500 g;Pasta e Riso;Pasta di semola lunga
Garofalo, Radiatori n. 87 pasta di semola di grano;1,59;0,89;500 g;Pasta e Riso;Pasta di semola lunga
